env_id	c	omega	kappa	final_D	final_A	divergence_rate
E11	1	6.79670595032001e-09	28846.15384615385	0	0	0
E11	3.16227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	10	6.79670595032001e-09	28846.15384615385	0	0	0
E11	31.6227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	100	6.79670595032001e-09	28846.15384615385	0	0	0
E11	316.227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	1000	6.79670595032001e-09	28846.15384615385	0	0	0
E12	1e-05	5.000000000000004e-08	10000	inf	inf	1
E12	3.16227766017e-05	5.000000000000004e-08	10000	inf	inf	1
E12	0.0001	5.000000000000004e-08	10000	50.0403925427	59.9474295044	0
E12	0.000316227766017	5.000000000000004e-08	10000	61.3783555421	73.5300930849	0
E12	0.001	5.000000000000004e-08	10000	66.6701919444	79.8693903302	0
E12	0.00316227766017	5.000000000000004e-08	10000	68.6703848748	82.2654953443	0
E12	0.01	5.000000000000004e-08	10000	69.3558209622	83.0862518032	0
E12	0.0316227766017	5.000000000000004e-08	10000	69.5823251424	83.3572681353	0
E12	0.1	5.000000000000004e-08	10000	69.6748556574	83.4641346418	0
E12	0.316227766017	5.000000000000004e-08	10000	69.6898329898	83.483669023	0
E12	1	5.000000000000004e-08	10000	69.6773815925	83.4726615133	0
E12	3.16227766017	5.000000000000004e-08	10000	69.6759634396	83.4717002649	0
E12	10	5.000000000000004e-08	10000	69.6762592981	83.4721406344	0
E12	31.6227766017	5.000000000000004e-08	10000	69.6764078574	83.4723348936	0
E12	100	5.000000000000004e-08	10000	69.6764730488	83.4724145369	0
E12	316.227766017	5.000000000000004e-08	10000	69.676495316	83.4724413743	0
E12	1000	5.000000000000004e-08	10000	69.6765025463	83.4724500497	0
E2	1e-05	1.249906254687286e-07	40002.00007500126	0	0	0
E2	3.16227766017e-05	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.0001	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.000316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.001	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.00316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.01	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.0316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.1	1.249906254687286e-07	40002.00007500126	0	0	0
E2	0.316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	1	1.249906254687286e-07	40002.00007500126	0	0	0
E2	3.16227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	10	1.249906254687286e-07	40002.00007500126	0	0	0
E2	31.6227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	100	1.249906254687286e-07	40002.00007500126	0	0	0
E2	316.227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E2	1000	1.249906254687286e-07	40002.00007500126	0	0	0
E3	1e-05	1.249906254687286e-07	40002.00007500126	0	0	0
E3	3.16227766017e-05	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.0001	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.000316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.001	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.00316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.01	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.0316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.1	1.249906254687286e-07	40002.00007500126	0	0	0
E3	0.316227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	1	1.249906254687286e-07	40002.00007500126	0	0	0
E3	3.16227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	10	1.249906254687286e-07	40002.00007500126	0	0	0
E3	31.6227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	100	1.249906254687286e-07	40002.00007500126	0	0	0
E3	316.227766017	1.249906254687286e-07	40002.00007500126	0	0	0
E3	1000	1.249906254687286e-07	40002.00007500126	0	0	0
E4	1e-05	8.332708364581907e-08	40002.00007500125	0	0	0
E4	3.16227766017e-05	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.0001	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.000316227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.001	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.00316227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.01	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.0316227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.1	8.332708364581907e-08	40002.00007500125	0	0	0
E4	0.316227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	1	8.332708364581907e-08	40002.00007500125	0	0	0
E4	3.16227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	10	8.332708364581907e-08	40002.00007500125	0	0	0
E4	31.6227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	100	8.332708364581907e-08	40002.00007500125	0	0	0
E4	316.227766017	8.332708364581907e-08	40002.00007500125	0	0	0
E4	1000	8.332708364581907e-08	40002.00007500125	0	0	0
E5	1e-05	0.0005000000000000004	1	0	0	0
E5	3.16227766017e-05	0.0005000000000000004	1	0	0	0
E5	0.0001	0.0005000000000000004	1	0	0	0
E5	0.000316227766017	0.0005000000000000004	1	0	0	0
E5	0.001	0.0005000000000000004	1	0	0	0
E5	0.00316227766017	0.0005000000000000004	1	0	0	0
E5	0.01	0.0005000000000000004	1	0	0	0
E5	0.0316227766017	0.0005000000000000004	1	0	0	0
E5	0.1	0.0005000000000000004	1	0	0	0
E5	0.316227766017	0.0005000000000000004	1	0	0	0
E5	1	0.0005000000000000004	1	0	0	0
E5	3.16227766017	0.0005000000000000004	1	0	0	0
E5	10	0.0005000000000000004	1	0	0	0
E5	31.6227766017	0.0005000000000000004	1	0	0	0
E5	100	0.0005000000000000004	1	0	0	0
E5	316.227766017	0.0005000000000000004	1	0	0	0
E5	1000	0.0005000000000000004	1	0	0	0
E6	1e-05	8.333333333332524e-05	1.000000000000451	0	0	0
E6	3.16227766017e-05	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.0001	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.000316227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.001	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.00316227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.01	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.0316227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.1	8.333333333332524e-05	1.000000000000451	0	0	0
E6	0.316227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	1	8.333333333332524e-05	1.000000000000451	0	0	0
E6	3.16227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	10	8.333333333332524e-05	1.000000000000451	0	0	0
E6	31.6227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	100	8.333333333332524e-05	1.000000000000451	0	0	0
E6	316.227766017	8.333333333332524e-05	1.000000000000451	0	0	0
E6	1000	8.333333333332524e-05	1.000000000000451	0	0	0
E7	1e-05	0.005000000000000004	1	inf	inf	1
E7	3.16227766017e-05	0.005000000000000004	1	inf	inf	1
E7	0.0001	0.005000000000000004	1	0.00646558626097	0.00646558626097	0
E7	0.000316227766017	0.005000000000000004	1	0.00660467606482	0.00660467606482	0
E7	0.001	0.005000000000000004	1	0.00781166125844	0.00781166125844	0
E7	0.00316227766017	0.005000000000000004	1	0.00829215739931	0.00829215739931	0
E7	0.01	0.005000000000000004	1	0.0102461198674	0.0102461198674	0
E7	0.0316227766017	0.005000000000000004	1	0.0119161341602	0.0119161341602	0
E7	0.1	0.005000000000000004	1	0.0320334610471	0.0320334610471	0
E7	0.316227766017	0.005000000000000004	1	0.0239968063649	0.0239968063649	0
E7	1	0.005000000000000004	1	0.00425138186186	0.00425138186186	0
E7	3.16227766017	0.005000000000000004	1	0.000525026775747	0.000525026775747	0
E7	10	0.005000000000000004	1	9.09509885332e-05	9.09509885332e-05	0
E7	31.6227766017	0.005000000000000004	1	8.6864444758e-06	8.6864444758e-06	0
