instance_key	env	case_id	control_key	control_value	gamma	n_states	d	omega	kappa	lambda_min_A_plus_AT_over_2	phi_max_sq	tau_proxy	best_k	delta_bestk	alpha_hat	tau_alpha	C_hat	t_mix_upper_alpha_eps1e-6	theta_star_norm	r_max	R_oracle	R_upper	matrix_dir
E6_case0004_feature_omega_beta_1p0	E6	0004	feature_omega_beta	1.0	0.98999999999999999	20	2	8.333333333332524e-05	1.000000000000451	0.028984754189559966	1	inf	256	0.99939618762159843	0.99999764064830476	423845.24613272247	1	5855744	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E6_case0004_feature_omega_beta_1p0
E7_case0001_feature_omega_beta_1p0	E7	0001	feature_omega_beta	1.0	0.98999999999999999	65	2	0.0050000000500000042	1	0.0095237994797300104	1	1	64	0.93985467317218996	0.99903125049921293	1032.2585964561454	1	14272	90.984349854603295	1	90.984349854603295	28284.271106040494	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E7_case0001_feature_omega_beta_1p0
E7_case0002_feature_omega_beta_1p0	E7	0002	feature_omega_beta	1.0	0.98999999999999999	65	2	0.0050005000000000041	1	0.0095237994797300104	1	1	64	0.93985467317218996	0.99903125049921293	1032.2585964561454	1	14272	90.235440671154706	1	90.235440671154706	28282.857139956657	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E7_case0002_feature_omega_beta_1p0
E7_case0003_feature_omega_beta_1p0	E7	0003	feature_omega_beta	1.0	0.98999999999999999	65	2	0.0050500000000000041	1	0.0095237994797300104	1	1	64	0.93985467317218996	0.99903125049921293	1032.2585964561454	1	14272	82.554417119951495	1	82.554417119951495	28143.901789211624	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E7_case0003_feature_omega_beta_1p0
E7_case0004_feature_omega_beta_1p0	E7	0004	feature_omega_beta	1.0	0.98999999999999999	65	2	0.010000000000000011	1	0.0095237994797300104	1	1	64	0.93985467317218996	0.99903125049921293	1032.2585964561454	1	14272	0	1	0	19999.999999999964	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E7_case0004_feature_omega_beta_1p0
E8_case0001_eps2_1em2	E8	0001	eps2	1e-2	0.98999999999999999	4	2	5.0000000000000042e-09	1000000	2.4266591996475899e-07	1	5250.6746790579245	155	0.21336969241316803	0.99008350257822386	100.84205717676525	1	1395	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E8_case0001_eps2_1em2
E8_case0002_eps2_1em2	E8	0002	eps2	1e-2	0.98999999999999999	4	2	5.0000000000000051e-07	9999.9999999999982	2.4266591730078986e-05	1	5250.6746790579245	155	0.21336969241316803	0.99008350257822386	100.84205717676525	1	1395	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E8_case0002_eps2_1em2
E8_case0003_eps2_1em2	E8	0003	eps2	1e-2	0.98999999999999999	4	2	5.000000000000005e-05	99.999999999999986	0.0024266565081841464	1	5250.6746790579245	155	0.21336969241316803	0.99008350257822386	100.84205717676525	1	1395	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E8_case0003_eps2_1em2
E8_case0004_eps2_1em2	E8	0004	eps2	1e-2	0.98999999999999999	4	2	0.0050000000000000027	1	0.24263773168715547	0.99999999999999989	5250.6746790579245	155	0.21336969241316803	0.99008350257822386	100.84205717676525	1	1395	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E8_case0004_eps2_1em2
E9_case0001_eps2_1em2	E9	0001	eps2	1e-2	0.98999999999999999	65	2	2.5683381689402908e-09	2124886.7753937771	3.6754807688632161e-13	1	inf	256	0.99180099657756882	0.99996784114167536	31095.631253622243	1	429824	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E9_case0001_eps2_1em2
E9_case0002_eps2_1em2	E9	0002	eps2	1e-2	0.98999999999999999	65	2	2.5682553766105603e-07	21250.235231319632	3.6754807324759637e-11	1	inf	256	0.99180099657756882	0.99996784114167536	31095.631253622243	1	429824	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E9_case0002_eps2_1em2
E9_case0003_eps2_1em2	E9	0003	eps2	1e-2	0.98999999999999999	65	2	2.559964272607675e-05	213.87851658546461	3.6754770937536781e-09	1	inf	256	0.99180099657756882	0.99996784114167536	31095.631253622243	1	429824	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E9_case0003_eps2_1em2
E9_case0004_eps2_1em2	E9	0004	eps2	1e-2	0.98999999999999999	65	2	0.001737853985040044	4.6354334848328431	3.6751132579049787e-07	1	inf	256	0.99180099657756882	0.99996784114167536	31095.631253622243	1	429824	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E9_case0004_eps2_1em2
E10_case0001_eps2_1em4	E10	0001	eps2	1e-4	0.98999999999999999	20	2	0.0025000000250000008	2.9999999400000008	2.9799999701999882e-10	0.99999999999999978	1	1	0.97999999999999998	0.97999999999999998	50.000000000000092	1	684	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E10_case0001_eps2_1em4
E10_case0002_eps2_1em2	E10	0002	eps2	1e-2	0.98999999999999999	20	2	0.0025002499750025019	2.9994001199760052	2.9797020297970174e-06	1	1	1	0.97999999999999998	0.97999999999999998	50.000000000000092	1	684	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E10_case0002_eps2_1em2
E10_case0003_eps2_1em1	E10	0003	eps2	1e-1	0.98999999999999999	20	2	0.002524752475247527	2.9411764705882359	0.00029504950495049534	1	1	1	0.97999999999999998	0.97999999999999998	50.000000000000092	1	684	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E10_case0003_eps2_1em1
E10_case0004_eps2_1p0	E10	0004	eps2	1.0	0.98999999999999999	20	2	0.0037500000000000042	1	0.0050000000000000157	1	1	1	0.97999999999999998	0.97999999999999998	50.000000000000092	1	684	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E10_case0004_eps2_1p0
